"Iteration"	"Chain"	"Parameter"	"value"
"1"	1	3	"deviance"	3275.56059403884
"2"	2	3	"deviance"	3293.01810454448
"3"	3	3	"deviance"	3246.84816129725
"4"	4	3	"deviance"	3298.96487139229
"5"	5	3	"deviance"	3259.79286078552
"6"	6	3	"deviance"	3299.74233992753
"7"	7	3	"deviance"	3280.51213217317
"8"	8	3	"deviance"	3302.99798241976
"9"	9	3	"deviance"	3270.08748784815
"10"	10	3	"deviance"	3235.23338155602
"11"	1	3	"etaP1[1]"	-2.2407460922236
"12"	2	3	"etaP1[1]"	-2.64993293005737
"13"	3	3	"etaP1[1]"	-2.9120951138081
"14"	4	3	"etaP1[1]"	-2.97809887995389
"15"	5	3	"etaP1[1]"	-2.62217617350242
"16"	6	3	"etaP1[1]"	-2.4255027304453
"17"	7	3	"etaP1[1]"	-2.43752044738994
"18"	8	3	"etaP1[1]"	-2.37246576866827
"19"	9	3	"etaP1[1]"	-2.78216321681438
"20"	10	3	"etaP1[1]"	-2.54160976861983
"21"	1	3	"etaP1[2]"	-2.60956278841262
"22"	2	3	"etaP1[2]"	-2.64903788904315
"23"	3	3	"etaP1[2]"	-2.58067554732147
"24"	4	3	"etaP1[2]"	-2.69256229727469
"25"	5	3	"etaP1[2]"	-2.52646627291876
"26"	6	3	"etaP1[2]"	-2.71690720276098
"27"	7	3	"etaP1[2]"	-2.63809755442814
"28"	8	3	"etaP1[2]"	-2.71360885995872
"29"	9	3	"etaP1[2]"	-2.62613556990776
"30"	10	3	"etaP1[2]"	-2.51414487788555
"31"	1	3	"etaP1[3]"	-2.56112167961816
"32"	2	3	"etaP1[3]"	-2.6627867299484
"33"	3	3	"etaP1[3]"	-2.68626405523016
"34"	4	3	"etaP1[3]"	-2.66704909095592
"35"	5	3	"etaP1[3]"	-2.62491456665192
"36"	6	3	"etaP1[3]"	-2.62283961088167
"37"	7	3	"etaP1[3]"	-2.45691591284234
"38"	8	3	"etaP1[3]"	-2.40278593543824
"39"	9	3	"etaP1[3]"	-2.74213819923211
"40"	10	3	"etaP1[3]"	-2.57372529293707
"41"	1	3	"etaP1[4]"	-2.47822074818739
"42"	2	3	"etaP1[4]"	-2.49734453473161
"43"	3	3	"etaP1[4]"	-2.68133758207689
"44"	4	3	"etaP1[4]"	-2.68674830401775
"45"	5	3	"etaP1[4]"	-2.70291535274531
"46"	6	3	"etaP1[4]"	-2.66899515009323
"47"	7	3	"etaP1[4]"	-2.38391847031185
"48"	8	3	"etaP1[4]"	-2.37788374571803
"49"	9	3	"etaP1[4]"	-2.51394026455697
"50"	10	3	"etaP1[4]"	-2.58204195542751
"51"	1	3	"etaP1[5]"	-2.47793366730442
"52"	2	3	"etaP1[5]"	-2.44596548877376
"53"	3	3	"etaP1[5]"	-2.69406183720708
"54"	4	3	"etaP1[5]"	-2.73444916694697
"55"	5	3	"etaP1[5]"	-2.60012758037463
"56"	6	3	"etaP1[5]"	-2.45139442847165
"57"	7	3	"etaP1[5]"	-2.84492359577445
"58"	8	3	"etaP1[5]"	-2.56385869129905
"59"	9	3	"etaP1[5]"	-2.73059326276208
"60"	10	3	"etaP1[5]"	-2.46030960271372
"61"	1	3	"etaP1[6]"	-2.68237802786341
"62"	2	3	"etaP1[6]"	-2.76988425440803
"63"	3	3	"etaP1[6]"	-2.85195019989402
"64"	4	3	"etaP1[6]"	-2.79325253505722
"65"	5	3	"etaP1[6]"	-2.45307697418279
"66"	6	3	"etaP1[6]"	-2.47203753651268
"67"	7	3	"etaP1[6]"	-2.84544069342761
"68"	8	3	"etaP1[6]"	-2.899624650008
"69"	9	3	"etaP1[6]"	-2.72058089870228
"70"	10	3	"etaP1[6]"	-2.52683446882268
"71"	1	3	"etaP1[7]"	-2.76961623052475
"72"	2	3	"etaP1[7]"	-2.68103611854445
"73"	3	3	"etaP1[7]"	-2.58309666242826
"74"	4	3	"etaP1[7]"	-2.7051586830301
