"","year","strata","m","n","u","yoym","yoyn","yoyu","days","effort"
"1","2010",8,0,0,NA,0,0,NA,10,0
"2","2010",9,0,0,NA,0,0,NA,10,0
"3","2010",10,0,0,NA,0,0,NA,10,0
"4","2010",11,0,0,NA,0,0,NA,10,0
"5","2010",12,0,0,NA,0,0,NA,10,0
"6","2010",13,0,0,NA,0,0,NA,10,0
"7","2010",14,0,0,NA,0,0,NA,10,0
"8","2010",15,0,0,NA,0,0,NA,10,0
"9","2010",16,0,0,NA,0,0,NA,10,0
"10","2010",17,0,0,NA,0,0,NA,10,0
"11","2010",18,0,0,NA,0,0,NA,10,0
"12","2010",19,0,19,71,0,0,0,10,2
"13","2010",20,55,396,1307,0,0,0,10,10
"14","2010",21,48,243,630,0,0,0,10,10
"15","2010",22,73,344,869,0,0,0,10,10
"16","2010",23,37,282,618,0,0,0,10,10
"17","2010",24,23,77,86,0,0,0,10,3
"18","2010",25,17,180,295,0,0,0,10,7
"19","2010",26,55,403,657,0,0,0,10,10
"20","2010",27,56,364,663,0,0,0,10,10
"21","2010",28,54,398,1528,0,0,0,10,10
"22","2010",29,36,294,294,0,0,0,10,10
"23","2010",30,29,185,296,0,0,0,10,10
"24","2010",31,21,123,108,0,0,0,10,7
"25","2011",8,1,1,1,0,0,0,10,1.5
"26","2011",9,3,19,24,0,0,39,10,9
"27","2011",10,6,38,33,0,0,34,10,7
"28","2011",11,1,8,9,0,0,7,10,8
"29","2011",12,3,15,16,0,0,154,10,9.5
"30","2011",13,2,47,51,0,0,229,10,10
"31","2011",14,7,40,35,0,0,257,10,9
"32","2011",15,0,8,9,0,0,32,10,8.5
"33","2011",16,0,4,2,0,0,56,10,9
"34","2011",17,0,0,NA,0,0,NA,10,0
"35","2011",18,0,0,0,0,0,58,10,10
"36","2011",19,1,85,798,0,0,8,10,10
"37","2011",20,14,424,2171,0,0,0,10,10
"38","2011",21,12,391,2935,0,0,0,10,10
"39","2011",22,1,119,819,0,0,0,10,10
"40","2011",23,19,301,656,0,0,0,10,10
"41","2011",24,88,953,2593,0,0,0,10,10
"42","2011",25,125,971,2601,0,0,0,10,10
"43","2011",26,38,482,1462,0,0,0,10,10
"44","2011",27,49,477,1897,0,0,0,10,7.5
"45","2011",28,13,138,3325,0,0,0,10,8
"46","2011",29,17,172,476,0,0,0,10,10
"47","2011",30,22,200,514,0,0,0,10,9.5
"48","2011",31,7,104,145,0,0,0,10,5
"49","2012",8,0,0,0,0,0,1,10,0.5
"50","2012",9,2,74,77,0,0,24,10,9.5
"51","2012",10,9,91,91,0,2,4,10,8.5
"52","2012",11,10,173,179,2,3,46,10,10
"53","2012",12,9,259,254,0,4,8,10,9.5
"54","2012",13,3,58,61,0,3,27,10,10
"55","2012",14,1,34,29,0,8,29,10,9.5
"56","2012",15,1,11,14,0,16,73,10,10
"57","2012",16,1,14,9,0,16,66,10,9.5
"58","2012",17,2,31,33,3,68,452,10,10
"59","2012",18,1,22,20,2,100,829,10,10
"60","2012",19,2,77,659,0,31,45,10,10
"61","2012",20,9,353,3199,0,0,0,10,10
"62","2012",21,10,520,2719,0,0,0,10,10
"63","2012",22,3,161,470,0,0,0,10,3
"64","2012",23,0,0,NA,0,0,NA,10,0
"65","2012",24,2,76,333,0,0,0,10,6
"66","2012",25,6,145,315,0,0,0,10,10
"67","2012",26,12,571,713,0,0,0,10,10
"68","2012",27,12,609,771,0,0,0,10,9.5
"69","2012",28,13,344,425,0,0,0,10,9.5
"70","2012",29,1,235,417,0,0,0,10,10
"71","2012",30,19,424,543,0,0,0,10,8.5
"72","2012",31,0,148,146,0,0,0,10,8
"73","2013",8,0,0,2,0,0,0,10,0.5
"74","2013",9,0,34,62,0,0,5,10,8
"75","2013",10,14,258,235,0,0,4,10,9.5
"76","2013",11,2,71,68,0,0,13,10,8
"77","2013",12,1,45,53,0,3,6,10,8.5
"78","2013",13,4,74,68,0,0,5,10,9.5
"79","2013",14,1,20,18,0,0,0,10,5
"80","2013",15,4,36,47,0,6,75,10,9
"81","2013",16,9,69,63,0,26,252,10,10
"82","2013",17,3,25,20,1,23,525,10,10
"83","2013",18,1,8,8,2,38,745,10,10
"84","2013",19,36,537,3428,0,0,102,10,10
"85","2013",20,47,663,3326,0,0,0,10,10
"86","2013",21,16,266,1393,0,0,0,10,10
"87","2013",22,31,488,1093,0,0,0,10,10
"88","2013",23,16,360,867,0,0,0,10,10
