"","year","strata","m","n","u","yoym","yoyn","yoyu","days","effort","strata_start","strata_end"
"1",2010,9,0,0,NA,0,0,NA,10,0,"03-13","03-22"
"2",2010,10,0,0,NA,0,0,NA,10,0,"03-23","04-01"
"3",2010,11,0,0,NA,0,0,NA,10,0,"04-02","04-11"
"4",2010,12,0,0,NA,0,0,NA,10,0,"04-12","04-21"
"5",2010,13,0,0,NA,0,0,NA,10,0,"04-22","05-01"
"6",2010,14,0,0,NA,0,0,NA,10,0,"05-02","05-11"
"7",2010,15,0,0,NA,0,0,NA,10,0,"05-12","05-21"
"8",2010,16,0,0,NA,0,0,NA,10,0,"05-22","05-31"
"9",2010,17,0,0,NA,0,0,NA,10,0,"06-01","06-10"
"10",2010,18,0,0,NA,0,0,NA,10,0,"06-11","06-20"
"11",2010,19,0,0,NA,0,0,NA,10,0,"06-21","06-30"
"12",2010,20,4,31,188,0,0,0,10,3,"07-01","07-10"
"13",2010,21,60,423,1351,0,0,0,10,10,"07-11","07-20"
"14",2010,22,43,222,513,0,0,0,10,10,"07-21","07-30"
"15",2010,23,74,366,881,0,0,0,10,10,"07-31","08-09"
"16",2010,24,44,276,606,0,0,0,10,10,"08-10","08-19"
"17",2010,25,11,43,42,0,0,0,12,2,"08-20","08-31"
"18",2010,26,25,262,619,0,0,0,10,10,"09-01","09-10"
"19",2010,27,64,420,449,0,0,0,10,10,"09-11","09-20"
"20",2010,28,52,383,1291,0,0,0,10,10,"09-21","09-30"
"21",2010,29,53,390,916,0,0,0,10,10,"10-01","10-10"
"22",2010,30,30,226,210,0,0,0,10,10,"10-11","10-20"
"23",2010,31,33,216,297,0,0,0,10,10,"10-21","10-30"
"24",2010,32,11,50,59,0,0,0,10,4,"10-31","11-09"
"25",2011,9,1,1,4,0,0,0,10,2.5,"03-13","03-22"
"26",2011,10,4,24,25,0,0,53,10,9,"03-23","04-01"
"27",2011,11,5,33,29,0,0,21,10,7,"04-02","04-11"
"28",2011,12,1,9,9,0,0,7,10,8,"04-12","04-21"
"29",2011,13,3,16,18,0,0,178,10,9.5,"04-22","05-01"
"30",2011,14,3,51,60,0,0,204,10,10,"05-02","05-11"
"31",2011,15,6,35,26,0,0,267,10,9,"05-12","05-21"
"32",2011,16,0,9,7,0,0,26,10,8.5,"05-22","05-31"
"33",2011,17,0,2,2,0,0,52,10,8,"06-01","06-10"
"34",2011,18,0,0,0,0,0,4,10,1,"06-11","06-20"
"35",2011,19,0,0,0,0,0,62,10,10,"06-21","06-30"
"36",2011,20,2,116,1026,0,0,0,10,10,"07-01","07-10"
"37",2011,21,13,427,2074,0,0,0,10,10,"07-11","07-20"
"38",2011,22,12,373,2972,0,0,0,10,10,"07-21","07-30"
"39",2011,23,1,110,738,0,0,0,10,10,"07-31","08-09"
"40",2011,24,30,394,890,0,0,0,10,10,"08-10","08-19"
"41",2011,25,100,1137,3060,0,0,0,12,12,"08-20","08-31"
"42",2011,26,113,934,2018,0,0,0,10,10,"09-01","09-10"
"43",2011,27,63,532,1996,0,0,0,10,10,"09-11","09-20"
"44",2011,28,13,180,1530,0,0,0,10,5.5,"09-21","09-30"
"45",2011,29,19,198,3128,0,0,0,10,10,"10-01","10-10"
"46",2011,30,20,172,465,0,0,0,10,10,"10-11","10-20"
"47",2011,31,17,200,449,0,0,0,10,9,"10-21","10-30"
"48",2011,32,3,44,46,0,0,0,10,2.5,"10-31","11-09"
"49",2012,9,0,0,4,0,0,7,10,2,"03-13","03-22"
"50",2012,10,4,95,115,0,1,19,10,10,"03-23","04-01"
"51",2012,11,7,79,71,2,3,11,10,8.5,"04-02","04-11"
"52",2012,12,10,189,243,0,3,40,10,10,"04-12","04-21"
"53",2012,13,9,252,188,0,2,6,10,9.5,"04-22","05-01"
"54",2012,14,3,49,48,0,3,37,10,10,"05-02","05-11"
"55",2012,15,1,28,23,0,16,39,10,9.5,"05-12","05-21"
"56",2012,16,2,13,14,0,8,71,10,10,"05-22","05-31"
"57",2012,17,0,13,12,0,27,63,10,9.5,"06-01","06-10"
"58",2012,18,2,31,34,3,57,581,10,10,"06-11","06-20"
"59",2012,19,1,19,16,2,131,730,10,10,"06-21","06-30"
"60",2012,20,4,136,1388,0,0,0,10,10,"07-01","07-10"
