"","SessionName","Trap","StartDate","Operation","Speed","SillDepth","DepthUnits","TagTemp","SessionNote"
"1","DAV10189.MC2","MARTR2",2010-07-08 10:21:00,"1.0",8,3.3,NA,9,"first day of trapping. Started vial CR23779"
"2","DAV10190.MC2","MARTR2",2010-07-09 09:48:00,"1.0",7,3.2,NA,9,"moved trap 2 ft right"
"3","DAV10191.MC2","MARTR2",2010-07-10 09:36:00,"1.0",9,3.2,NA,9,"First day in center riffle. Started Vial CR23778"
"4","DAV10192.MC2","MARTR2",2010-07-11 10:19:00,"1.0",9,3.2,NA,10,NA
"5","DAV10193.MC2","MARTR2",2010-07-12 10:28:00,"1.0",9,3.2,NA,10,NA
"6","DAV10194.MC2","MARTR2",2010-07-13 10:42:00,"1.0",9,3.2,NA,9,"started PIT vial CR23772"
"7","DAV10195.MC2","MARTR2",2010-07-14 10:57:00,"1.0",9,3.1,NA,8.5,NA
"8","DAV10196.MC2","MARTR2",2010-07-15 10:46:00,"1.0",8,3.1,NA,9,"STARTED PIT VIAL CR23773"
"9","DAV10197.MC2","MARTR2",2010-07-16 11:11:00,"1.0",9,3.1,NA,9,NA
"10","DAV10198.MC2","MARTR2",2010-07-17 10:12:00,"1.0",8,3,NA,10,"started PIT vial CR 23776"
"11","DAV10199.MC2","MARTR2",2010-07-18 10:31:00,"1.0",9,3,NA,10,NA
"12","DAV10200.MC2","MARTR2",2010-07-19 10:38:00,"1.0",8,3,NA,9,NA
"13","DAV10201.MC2","MARTR2",2010-07-20 10:03:00,"1.0",8,3,NA,8,"started PIT vial CR23777"
"14","DAV10202.MC2","MARTR2",2010-07-21 09:57:00,"1.0",8,3,NA,9,NA
"15","DAV10203.MC2","MARTR2",2010-07-22 10:48:00,"1.0",8,2.9,NA,9,"started PIT vial CR23774"
"16","DAV10204.MC2","MARTR2",2010-07-23 10:23:00,"1.0",8,2.9,NA,8,NA
"17","DAV10205.MC2","MARTR2",2010-07-24 12:09:00,"1.0",8,2.9,NA,10,NA
"18","DAV10206.MC2","MARTR2",2010-07-25 08:49:00,"1.0",8,2.9,NA,8,NA
"19","DAV10207.MC2","MARTR2",2010-07-26 08:37:00,"1.0",8,2.9,NA,10,NA
"20","DAV10208.MC2","MARTR2",2010-07-27 09:01:00,"1.0",8,3,NA,10,"PIT vial CR23771"
"21","DAV10209.MC2","MARTR2",2010-07-28 09:29:00,"1.0",7,2.9,NA,9,NA
"22","DAV10210.MC2","MARTR2",2010-07-29 10:49:00,"1.0",7,2.9,NA,10,NA
"23","DAV10211.MC2","MARTR2",2010-07-30 11:23:00,"1.0",7,2.8,NA,11,NA
"24","DAV10212.MC2","MARTR2",2010-07-31 10:26:00,"1.0",7,2.8,NA,11,"Started PIT vial CR23770"
"25","DAV10213.MC2","MARTR2",2010-08-01 10:19:00,"1.0",7,2.8,NA,9,NA
"26","DAV10214.MC2","MARTR2",2010-08-02 09:33:00,"1.0",7,2.8,NA,8,NA
"27","DAV10215.MC2","MARTR2",2010-08-03 09:29:00,"1.0",7,2.8,NA,8,"PIT vial CR23775"
"28","DAV10216.MC2","MARTR2",2010-08-04 10:32:00,"1.0",7,2.8,NA,9,NA
"29","DAV10217.MC2","MARTR2",2010-08-05 10:06:00,"1.0",7,2.8,NA,8.5,"PIT vial CR23797"
"30","DAV10218.MC2","MARTR2",2010-08-06 10:40:00,"1.0",7,2.7,NA,10,NA
"31","DAV10219.MC2","MARTR2",2010-08-07 08:39:00,"1.0",7,2.7,NA,9,"PIT vial CR23798"
"32","DAV10220.MC2","MARTR2",2010-08-08 08:42:00,"1.0",7,2.7,NA,9,NA
"33","DAV10221.MC2","MARTR2",2010-08-09 08:58:00,"1.0",7,2.7,NA,9,NA
"34","DAV10222.MC2","MARTR2",2010-08-10 09:52:00,"1.0",7,2.8,NA,9,"PIT vial CR23799"
"35","DAV10223.MC2","MARTR2",2010-08-11 10:18:00,"1.0",7,2.8,NA,8,NA
"36","DAV10224.MC2","MARTR2",2010-08-12 09:34:00,"1.0",7,2.7,NA,8,"started PIT vial CR23796"
"37","DAV10225.MC2","MARTR2",2010-08-13 09:22:00,"1.0",7,2.7,NA,7,NA
"38","DAV10226.MC2","MARTR2",2010-08-14 09:09:00,"1.0",6,2.7,NA,7,NA
